id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,320564,Lisa,28801,35.6067,-82.55563,Entire home/apt,82,30,89,11/30/2019,0.78,2,242
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,28806,35.57864,-82.59578,Entire home/apt,90,1,289,2/13/2021,2.48,7,310
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,28806,35.57864,-82.59578,Private room,66,1,67,1/1/2020,0.58,7,16
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,28806,35.57864,-82.59578,Shared room,31,1,282,12/31/2020,2.45,7,281
160594,Historic Grove Park,769252,Elizabeth,28801,35.61442,-82.54127,Private room,125,30,58,10/19/2015,0.5,1,0
209068,Terrace Cottage,1029919,Kevin,28804,35.61856,-82.55276,Entire home/apt,134,30,57,1/9/2021,0.5,1,311
213006,Blue Gate West,1098412,Susanne,28806,35.58345,-82.59713,Private room,48,1,137,11/30/2019,1.29,1,203
246315,Asheville Dreamer's Cabin,1292070,Annie,28805,35.59635,-82.50655,Private room,68,3,57,10/30/2019,0.51,2,87
259576,"Private, peaceful, and free goat therapy",1362726,Julia,28805,35.61929,-82.48114,Entire home/apt,59,1,541,2/15/2021,4.82,1,185
295496,The Fern Street Apt near Biltmore,1501882,Debbie,28803,35.55537,-82.53539,Entire home/apt,50,90,32,10/10/2020,0.29,1,170
304379,Refocus Cottage - paradise,1566145,Gayle,28804,35.64453,-82.52586,Entire home/apt,289,30,24,8/3/2019,0.22,2,335
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,28803,35.49111,-82.48438,Entire home/apt,125,2,44,1/3/2021,0.44,1,350
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,28801,35.60182,-82.56174,Entire home/apt,104,3,301,1/28/2021,2.84,2,41
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,28803,35.56118,-82.57784,Entire home/apt,122,2,505,2/15/2021,6.49,1,0
