Student,Taco,Evil
1,Yes,Yes
2,Yes,Yes
3,Yes,Yes
4,Yes,Yes
5,Yes,Yes
6,Yes,Yes
7,Yes,Yes
8,Yes,Yes
9,Yes,Yes
10,Yes,Yes
11,Yes,Yes
12,Yes,Yes
13,Yes,Yes
14,Yes,Yes
15,Yes,Yes
16,Yes,Yes
17,Yes,Yes
18,Yes,Yes
19,Yes,Yes
20,Yes,Yes
21,Yes,Yes
22,Yes,Yes
23,Yes,Yes
24,Yes,Yes
25,Yes,Yes
26,Yes,Yes
27,Yes,Yes
28,Yes,Yes
29,Yes,Yes
30,Yes,Yes
31,Yes,Yes
32,Yes,Yes
33,Yes,Yes
34,Yes,Yes
35,Yes,Yes
36,Yes,Yes
37,Yes,Yes
38,Yes,Yes
39,Yes,Yes
40,Yes,Yes
41,Yes,Yes
42,Yes,Yes
43,No,Yes
44,No,Yes
45,No,Yes
46,No,Yes
47,No,Yes
48,No,Yes
49,No,Yes
50,No,Yes
51,No,Yes
52,No,Yes
53,No,Yes
54,No,Yes
55,No,Yes
56,No,Yes
57,No,Yes
58,No,Yes
59,No,Yes
60,No,Yes
61,No,Yes
62,No,Yes
63,Yes,No
64,Yes,No
65,Yes,No
66,Yes,No
67,Yes,No
68,Yes,No
69,Yes,No
70,Yes,No
71,Yes,No
72,Yes,No
73,Yes,No
74,Yes,No
75,Yes,No
76,Yes,No
77,Yes,No
78,Yes,No
79,Yes,No
80,Yes,No
81,Yes,No
82,Yes,No
83,Yes,No
84,Yes,No
85,Yes,No
86,Yes,No
87,Yes,No
88,Yes,No
89,Yes,No
90,Yes,No
91,Yes,No
92,Yes,No
93,Yes,No
94,Yes,No
95,Yes,No
96,Yes,No
97,Yes,No
98,Yes,No
99,Yes,No
100,Yes,No
101,Yes,No
102,Yes,No
103,Yes,No
104,Yes,No
105,Yes,No
106,Yes,No
107,Yes,No
108,Yes,No
109,Yes,No
110,Yes,No
111,Yes,No
112,Yes,No
113,Yes,No
114,Yes,No
115,Yes,No
116,Yes,No
117,Yes,No
118,Yes,No
119,Yes,No
120,Yes,No
121,Yes,No
122,Yes,No
123,Yes,No
124,Yes,No
125,Yes,No
126,Yes,No
127,Yes,No
128,Yes,No
129,Yes,No
130,Yes,No
131,Yes,No
132,Yes,No
133,Yes,No
134,Yes,No
135,Yes,No
136,Yes,No
137,Yes,No
138,Yes,No
139,Yes,No
140,Yes,No
141,Yes,No
142,Yes,No
143,Yes,No
144,Yes,No
145,Yes,No
146,Yes,No
147,Yes,No
148,Yes,No
149,Yes,No
150,Yes,No
151,Yes,No
152,Yes,No
153,Yes,No
154,Yes,No
155,Yes,No
156,Yes,No
157,Yes,No
158,Yes,No
159,Yes,No
160,Yes,No
161,Yes,No
162,Yes,No
163,Yes,No
164,Yes,No
165,Yes,No
166,Yes,No
167,Yes,No
168,Yes,No
169,Yes,No
170,No,No
171,No,No
172,No,No
173,No,No
174,No,No
175,No,No
176,No,No
177,No,No
178,No,No
179,No,No
180,No,No
181,No,No
182,No,No
183,No,No
184,No,No
185,No,No
186,No,No
187,No,No
188,No,No
189,No,No
190,No,No
191,No,No
192,No,No
193,No,No
194,No,No
195,No,No
196,No,No
197,No,No
198,No,No
199,No,No
200,No,No
