INSTITUTION NAME,AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
ASU,37,26-Aug-11,Assistant Professor,68945,Psychology,Assistant Professor
ASU,64,20-Aug-81,Professor,106148,Theatre & Dance,Professor
ASU,54,19-Aug-19,Assistant Professor,61500,Communication,Senior Lecturer
ASU,34,22-Aug-17,Assistant Professor,62000,Curriculum & Instruction,Assistant Professor
ASU,43,17-Aug-20,Assistant Professor,55500,Art,Visiting Assistant Professor
ASU,51,24-Aug-10,Associate Professor,77814,Biology,Associate Prof/Assistant Chair
ASU,45,25-Aug-09,Professor,127344,Marketing & Supply Chain Mgmt (SCM),Associate Professor
ASU,54,25-Aug-09,Associate Professor,71000,Social Work,Associate Professor
ASU,63,15-Aug-90,Professor,76123,Physics & Astronomy,Professor
ASU,77,15-Aug-89,Professor,83698,School Of Music,Professor
ASU,34,19-Aug-14,Associate Professor,69881,Physics & Astronomy,Associate Professor
ASU,57,24-Aug-10,Associate Professor,63725,Philosophy & Religion,Associate Professor
ASU,58,17-Aug-92,Professor,124863,Management,Professor
ASU,63,15-Aug-89,Associate Professor,77579,Mathematical Sciences,Associate Professor
ASU,55,24-Aug-04,Professor (Primary) and Department Chair/Head,117800,Geological & Environmental Sciences,Professor/Department Chair
ASU,72,22-Aug-02,Professor,41776,Leadership & Edu Studies,Professor
ASU,58,17-Jan-00,Assistant Professor,61000,Health and Exercise Science (HES),Clinical Assistant Professor
ASU,38,21-Aug-18,Assistant Professor,65000,Human Dev & Psych Counsel,Professor
ASU,51,1-Jul-03,Professor (Primary) and Department Chair/Head,113908,Government & Justice Studies,Professor/Interim Chair
ASU,41,22-Aug-17,Assistant Professor,92000,Economics,Assistant Professor
ASU,33,22-Aug-17,Assistant Professor,69000,Geological & Environmental Sciences,Assistant Professor
ASU,57,16-Aug-93,Professor,88530,Mathematical Sciences,Professor
ASU,31,21-Aug-18,Assistant Professor,59500,Sociology,Assist Prof/Graduate Prog Dir
ASU,57,15-Aug-97,Professor,93500,Social Work,Professor
ASU,67,16-Aug-93,Professor,83782,Psychology,Professor
ASU,42,13-Jan-03,Associate Professor,61905,Theatre & Dance,Associate Professor
ASU,67,17-Aug-92,Professor,76988,English,Professor
ASU,51,26-Aug-08,Associate Professor,60231,School Of Music,Associate Professor
ASU,67,17-Aug-87,Professor,86423,Communication,Professor
ASU,51,1-Jul-04,Associate Professor,79547,Chemistry & Fermentation Sciences,Associate Professor
ASU,44,24-Aug-10,Professor (Primary) and Department Chair/Head,168377,Accounting,Professor/Chairperson
ASU,40,20-Aug-13,Associate Professor,65118,History,Assistant Professor
ASU,63,15-Aug-91,Professor,88804,Psychology,Professor
