Company,Ticker,City,Name,Salary,Bonus,Stock,Options,Incentive,Retirement,Other,Total Pay
Bank of America Corporation,BAC,Charlotte,Brian Moynihan,"$1,500,000 ",$0 ,"$23,575,105 ",$0 ,$0 ,"$632,250 ","$331,858 ","$26,039,213 "
"IQVIA Holdings, Inc.",IQV,Durham,Ari Bousbib,"$1,684,470 ",$0 ,"$6,599,377 ","$6,026,709 ","$6,600,000 ","$583,877 ","$645,343 ","$22,139,776 "
Honeywell International Inc.,HON,Charlotte,Darius Adamczyk,"$1,600,000 ",$0 ,"$8,612,506 ","$4,635,409 ","$4,065,000 ","$748,107 ","$864,082 ","$20,525,104 "
Nucor Corporation,NUE,Charlotte,John Ferriola,"$1,450,000 ",$0 ,"$8,499,968 ","$1,750,000 ","$3,907,750 ",$0 ,"$3,491,864 ","$19,099,582 "
Duke Energy Corporation,DUK,Charlotte,Lynn Good,"$1,383,750 ",$0 ,"$10,122,579 ",$0 ,"$2,793,389 ","$355,908 ","$373,760 ","$15,029,386 "
"CommScope Holding Co., Inc.",COMM,Hickory,Marvin Edwards Jr.,"$1,100,000 ",$0 ,$0 ,"$12,088,716 ","$517,110 ","$54,686 ","$231,526 ","$13,992,038 "
"Martin Marietta Materials, Inc.",MLM,Raleigh,C. Nye,"$1,141,667 ",$0 ,"$6,294,708 ",$0 ,"$1,450,000 ","$3,073,183 ","$238,800 ","$12,198,358 "
"Coca-Cola Consolidated, Inc.",COKE,Charlotte,J. Harrison,"$1,151,114 ",$0 ,$0 ,$0 ,"$8,708,743 ","$402,382 ","$1,445,385 ","$11,707,624 "
"Lowe's Companies, Inc.",LOW,Mooresville,Marvin Ellison,"$1,450,000 ",$0 ,"$6,410,644 ","$2,074,702 ","$1,258,657 ",$0 ,"$427,366 ","$11,621,369 "
Truist Financial Corporation,TFC,Charlotte,Kelly King,"$1,121,625 ",$0 ,"$3,400,092 ",$0 ,"$4,781,982 ","$1,810,412 ","$376,998 ","$11,491,109 "
DENTSPLY SIRONA Inc.,XRAY,Charlotte,Donald Casey Jr.,"$925,000 ",$0 ,"$8,222,964 ","$1,000,054 ","$1,110,000 ",$0 ,"$108,225 ","$11,366,243 "
