Rotor,Weight,Team,Location,Obstruction,Time
Long,Unweighted,1,Side A,FALSE,4.93
Long,Unweighted,1,Side A,FALSE,4.07
Long,Unweighted,1,Side A,TRUE,1.17
Long,Unweighted,1,Side A,TRUE,4.91
Long,Unweighted,1,Side A,TRUE,4.4
Long,Unweighted,1,Side A,FALSE,5.41
Long,Unweighted,1,Side A,FALSE,4.99
Long,Unweighted,1,Side A,FALSE,5.8
Long,Unweighted,1,Side A,FALSE,5.94
Long,Unweighted,1,Side A,FALSE,5.14
Long,Unweighted,1,Side A,FALSE,5.53
Long,Unweighted,1,Side A,TRUE,5.88
Long,Unweighted,1,Side A,FALSE,6.3
Short,Weighted,2,Side A,FALSE,3.41
Short,Weighted,2,Side A,FALSE,2.84
Short,Weighted,2,Side A,FALSE,2.87
Short,Weighted,2,Side A,TRUE,3.82
Short,Weighted,2,Side A,FALSE,3.36
Short,Weighted,2,Side A,FALSE,3.83
Short,Weighted,2,Side A,TRUE,4
Short,Weighted,2,Side A,FALSE,3.63
Short,Weighted,2,Side A,FALSE,3.03
Short,Weighted,2,Side A,FALSE,3.25
Short,Weighted,2,Side A,FALSE,3.04
Short,Weighted,2,Side A,FALSE,3.32
Short,Weighted,2,Side A,FALSE,3.26
Short,Weighted,2,Side A,FALSE,3.04
Short,Weighted,2,Side A,FALSE,2.99
Short,Weighted,2,Side A,TRUE,3
Short,Weighted,2,Side A,FALSE,3.6
Short,Weighted,2,Side A,FALSE,3.49
Short,Weighted,2,Side A,FALSE,2.65
Short,Weighted,2,Side A,FALSE,3.48
Short,Weighted,2,Side A,FALSE,3.64
Short,Weighted,2,Side A,FALSE,4.47
Short,Weighted,2,Side A,FALSE,3.28
Short,Weighted,2,Side A,TRUE,4
Short,Weighted,2,Side A,FALSE,2.83
Short,Weighted,2,Side A,FALSE,2.65
Long,Weighted,3,Side A,FALSE,5.12
Long,Weighted,3,Side A,FALSE,4.61
Long,Weighted,3,Side A,FALSE,4.76
Long,Weighted,3,Side A,FALSE,4.54
Long,Weighted,3,Side A,FALSE,4.89
Long,Weighted,3,Side A,FALSE,5.51
Long,Weighted,3,Side A,FALSE,4.62
Long,Weighted,3,Side A,FALSE,5.41
Long,Weighted,3,Side A,FALSE,5.31
Long,Weighted,3,Side A,FALSE,4.18
Long,Weighted,3,Side A,FALSE,5.11
Long,Weighted,3,Side A,FALSE,5.08
Long,Weighted,3,Side A,FALSE,4.69
Long,Weighted,3,Side A,TRUE,4.65
Long,Weighted,3,Side A,FALSE,4.29
Long,Weighted,3,Side A,FALSE,5.66
Long,Weighted,3,Side A,FALSE,5.88
Long,Weighted,3,Side A,TRUE,5.77
Long,Weighted,3,Side A,FALSE,4.75
Long,Weighted,3,Side A,FALSE,4.97
Long,Weighted,3,Side A,FALSE,4.61
Long,Weighted,3,Side A,FALSE,5.66
Long,Weighted,3,Side A,FALSE,4.86
Long,Weighted,3,Side A,FALSE,6.15
Long,Weighted,3,Side A,FALSE,5.48
Long,Weighted,3,Side A,FALSE,5.70
Long,Weighted,3,Side A,FALSE,5.41
Long,Weighted,3,Side A,FALSE,4.81
Long,Weighted,3,Side A,FALSE,5.77
Long,Weighted,3,Side A,FALSE,4.69
Long,Weighted,3,Side A,FALSE,5.26
Long,Weighted,3,Side A,FALSE,5.57
Long,Weighted,3,Side A,TRUE,5.72
Long,Weighted,3,Side A,FALSE,3.74
Long,Unweighted,4,Side B,FALSE,5.65
Long,Unweighted,4,Side B,FALSE,4.66
Long,Unweighted,4,Side B,FALSE,4.08
Long,Unweighted,4,Side B,FALSE,5.81
Long,Unweighted,4,Side B,FALSE,4.36
Long,Unweighted,4,Side B,FALSE,6.28
Long,Unweighted,4,Side B,FALSE,6.46
Long,Unweighted,4,Side B,FALSE,6.48
Long,Unweighted,4,Side B,FALSE,5.76
Long,Unweighted,4,Side B,FALSE,6.59
Long,Unweighted,4,Side B,FALSE,6.66
Long,Unweighted,4,Side B,FALSE,6.03
Long,Unweighted,4,Side B,FALSE,6.16
Long,Unweighted,4,Side B,FALSE,5.33
Long,Unweighted,4,Side B,FALSE,6.66
Long,Unweighted,4,Side B,FALSE,5.4
Long,Unweighted,4,Side B,FALSE,6.25
Long,Unweighted,4,Side B,FALSE,5.8
Long,Unweighted,4,Side B,FALSE,6.55
Long,Unweighted,4,Side B,FALSE,6.79
Long,Unweighted,4,Side B,FALSE,6.39
Long,Unweighted,4,Side B,FALSE,8.55
Long,Unweighted,4,Side B,FALSE,6.2
Long,Unweighted,4,Side B,FALSE,5.73
Long,Unweighted,4,Side B,FALSE,6.92
Long,Unweighted,4,Side B,FALSE,6.23
Long,Unweighted,4,Side B,FALSE,6.72
Long,Unweighted,4,Side B,FALSE,6.02
Long,Unweighted,4,Side B,FALSE,6.39
Long,Unweighted,4,Side B,FALSE,8.88
Long,Unweighted,4,Side B,FALSE,5.75
Long,Unweighted,4,Side B,FALSE,5.3
Long,Unweighted,4,Side B,FALSE,7.18
Long,Unweighted,4,Side B,FALSE,5.5
Long,Unweighted,4,Side B,FALSE,6.08
Short,Unweighted,5,Side B,FALSE,4.54
Short,Unweighted,5,Side B,FALSE,3.47
Short,Unweighted,5,Side B,FALSE,5.1
Short,Unweighted,5,Side B,FALSE,5.25
Short,Unweighted,5,Side B,FALSE,4.67
Short,Unweighted,5,Side B,FALSE,5.15
Short,Unweighted,5,Side B,FALSE,4.44
Short,Unweighted,5,Side B,FALSE,4.87
Short,Unweighted,5,Side B,FALSE,3.62
Short,Unweighted,5,Side B,FALSE,3.3
Short,Unweighted,5,Side B,FALSE,4.42
Short,Unweighted,5,Side B,FALSE,4.89
Short,Unweighted,5,Side B,FALSE,4.52
Short,Unweighted,5,Side B,FALSE,5.2
Short,Unweighted,5,Side B,FALSE,4.58
Short,Unweighted,5,Side B,FALSE,3.96
Short,Unweighted,5,Side B,FALSE,4.69
Short,Unweighted,5,Side B,FALSE,4.79
Short,Unweighted,5,Side B,FALSE,4.16
Short,Unweighted,5,Side B,FALSE,4.22
Short,Unweighted,5,Side B,FALSE,4.48
Short,Unweighted,5,Side B,FALSE,3.94
Short,Unweighted,5,Side B,FALSE,4.07
Short,Unweighted,5,Side B,FALSE,4.56
Short,Unweighted,5,Side B,FALSE,4.01
Short,Unweighted,5,Side B,FALSE,5.04
Short,Unweighted,5,Side B,FALSE,4.1
Short,Unweighted,5,Side B,FALSE,3.88
Short,Unweighted,5,Side B,TRUE,5.07
Short,Unweighted,5,Side B,FALSE,4.87
Short,Unweighted,5,Side B,FALSE,3.82
Short,Unweighted,5,Side B,FALSE,4.5
Short,Unweighted,5,Side B,FALSE,4.4
Short,Unweighted,5,Side B,FALSE,4.53
Short,Unweighted,5,Side B,TRUE,5.59
